{'0 - 200 um': '0.040833806007335', '200 - 400 um': '0.04697780573989856', '400 - 600 um': '0.031614317998834456', '600 - 800 um': '0.01789414448459318', '800 - 1000 um': '0.010756837209489539', '1000 - 1200 um': '0.005444630390348605', '1200 - 1400 um': '0.0034732851143013813', '1400 - 1600 um': '0.005261001350920032', '1600 - 1800 um': '0.0026010805320192606', '1800 - 2000 um': '0.0009377579392564414', '2000+ um': '0.0059170634493688435', 'mean_hole_size': '349.853125', 'median_hole_size': '219.0', 'number_holes': '3840', 'steatosis_score': '2.0', 'holes_fraction': '0.1717117302163653', 'number_holes_per_100_um2': '0.2849754941372275', 'pc1': '0.8238654648291629', 'pc2': '-1.5986159333618277', 'UMAP_0': '11.24777', 'UMAP_1': '7.735048', 'slide_id': 'Sl126'}
{'0 - 200 um': '0.02820833461830026', '200 - 400 um': '0.027246487013262977', '400 - 600 um': '0.022385988633916665', '600 - 800 um': '0.019115487160193945', '800 - 1000 um': '0.015606760148046307', '1000 - 1200 um': '0.011774484113772644', '1200 - 1400 um': '0.009485983902484396', '1400 - 1600 um': '0.008704420950584699', '1600 - 1800 um': '0.006653744760115791', '1800 - 2000 um': '0.004361191837642777', '2000+ um': '0.0269144678644614', 'mean_hole_size': '517.6227475', 'median_hole_size': '234.0', 'number_holes': '10322', 'steatosis_score': '2.0', 'holes_fraction': '0.1804573508223245', 'number_holes_per_100_um2': '0.240527242408391', 'pc1': '2.4294798883955475', 'pc2': '0.5034610840681173', 'UMAP_0': '9.238323', 'UMAP_1': '7.154177', 'slide_id': 'Sl124'}
{'0 - 200 um': '0.024602258642491333', '200 - 400 um': '0.02189389674342683', '400 - 600 um': '0.01636076829017168', '600 - 800 um': '0.012150172072604921', '800 - 1000 um': '0.00901792650411474', '1000 - 1200 um': '0.005578932077672819', '1200 - 1400 um': '0.004740415997939596', '1400 - 1600 um': '0.0029762628325433068', '1600 - 1800 um': '0.002331534026034877', '1800 - 2000 um': '0.001678353890591164', '2000+ um': '0.0060138406571037945', 'mean_hole_size': '375.7245153', 'median_hole_size': '203.0', 'number_holes': '8407', 'steatosis_score': '1.0', 'holes_fraction': '0.1073443616273507', 'number_holes_per_100_um2': '0.1684664944866097', 'pc1': '-0.50626920443604', 'pc2': '-0.2500718650914772', 'UMAP_0': '12.002766', 'UMAP_1': '7.023555', 'slide_id': 'Sl207'}
{'0 - 200 um': '0.03318108079444398', '200 - 400 um': '0.041733314386114', '400 - 600 um': '0.03602142486442838', '600 - 800 um': '0.030045602728060634', '800 - 1000 um': '0.023529000361071646', '1000 - 1200 um': '0.018663937086902567', '1200 - 1400 um': '0.014966664611404723', '1400 - 1600 um': '0.01032516839478522', '1600 - 1800 um': '0.00962914831934509', '1800 - 2000 um': '0.008769577437145746', '2000+ um': '0.04925594683658813', 'mean_hole_size': '612.8240061', 'median_hole_size': '296.0', 'number_holes': '11847', 'steatosis_score': '3.0', 'holes_fraction': '0.2761208658202901', 'number_holes_per_100_um2': '1.0696821681336626', 'pc1': '6.099535861960033', 'pc2': '-0.18537267739916188', 'UMAP_0': '7.429068', 'UMAP_1': '7.1971426', 'slide_id': 'Sl205'}
{'0 - 200 um': '0.021978813091020875', '200 - 400 um': '0.02349345499027157', '400 - 600 um': '0.02367930450656047', '600 - 800 um': '0.018391042011337413', '800 - 1000 um': '0.011065396759816682', '1000 - 1200 um': '0.008993284496668218', '1200 - 1400 um': '0.006995168026172058', '1400 - 1600 um': '0.004440910848938116', '1600 - 1800 um': '0.0028768342600753753', '1800 - 2000 um': '0.0022867464088643452', '2000+ um': '0.003971124671341691', 'mean_hole_size': '416.143073', 'median_hole_size': '238.5', 'number_holes': '3970', 'steatosis_score': '3.0', 'holes_fraction': '0.1281720801992389', 'number_holes_per_100_um2': '0.1610452448171012', 'pc1': '0.38208932193546546', 'pc2': '0.2284921110576099', 'UMAP_0': '10.803978', 'UMAP_1': '6.861526', 'slide_id': 'Sl224'}
{'0 - 200 um': '0.02266527357306036', '200 - 400 um': '0.015520200021468748', '400 - 600 um': '0.008224963684250143', '600 - 800 um': '0.0055561459058987', '800 - 1000 um': '0.0026024461222113812', '1000 - 1200 um': '0.002199095187939005', '1200 - 1400 um': '0.001503281592789524', '1400 - 1600 um': '0.00106855940526294', '1600 - 1800 um': '0.00026310754007311264', '1800 - 2000 um': '0.0003918588742638473', '2000+ um': '0.0017946555829246396', 'mean_hole_size': '275.9611987', 'median_hole_size': '160.0', 'number_holes': '5773', 'steatosis_score': '1.0', 'holes_fraction': '0.0617895874901424', 'number_holes_per_100_um2': '0.5535716758329103', 'pc1': '-2.2609654440481313', 'pc2': '-0.9167424318393577', 'UMAP_0': '11.519758', 'UMAP_1': '4.1959314', 'slide_id': 'Sl073'}
{'0 - 200 um': '0.03469637132625135', '200 - 400 um': '0.04189741254571618', '400 - 600 um': '0.04305682046441161', '600 - 800 um': '0.035046375307220906', '800 - 1000 um': '0.020933392933758274', '1000 - 1200 um': '0.011562543659689659', '1200 - 1400 um': '0.009304037082809935', '1400 - 1600 um': '0.006788070843244483', '1600 - 1800 um': '0.0037824974707897077', '1800 - 2000 um': '0.0026362353196909736', '2000+ um': '0.006534421945981691', 'mean_hole_size': '432.422093', 'median_hole_size': '267.0', 'number_holes': '14620', 'steatosis_score': '2.0', 'holes_fraction': '0.2162381786833266', 'number_holes_per_100_um2': '1.066011045236817', 'pc1': '3.4629122158182803', 'pc2': '-2.5163740551841647', 'UMAP_0': '8.141321', 'UMAP_1': '5.224571', 'slide_id': 'Sl080'}
{'0 - 200 um': '0.012528336749533844', '200 - 400 um': '0.011134959834695144', '400 - 600 um': '0.009832987229600876', '600 - 800 um': '0.008292587794890014', '800 - 1000 um': '0.007632458908565119', '1000 - 1200 um': '0.005653703874244541', '1200 - 1400 um': '0.004212654238519947', '1400 - 1600 um': '0.003018549095293063', '1600 - 1800 um': '0.0019886709465326757', '1800 - 2000 um': '0.0016509365157357065', '2000+ um': '0.005575859722142471', 'mean_hole_size': '433.8030687', 'median_hole_size': '208.0', 'number_holes': '7886', 'steatosis_score': '', 'holes_fraction': '0.0715217049097534', 'number_holes_per_100_um2': '0.1008870962227597', 'pc1': '-1.2625093527419549', 'pc2': '0.7834584502540666', 'UMAP_0': '12.621482', 'UMAP_1': '6.2724514', 'slide_id': 'Sl237'}
{'0 - 200 um': '0.019423942263616063', '200 - 400 um': '0.012815146086391739', '400 - 600 um': '0.007601539250993792', '600 - 800 um': '0.004824624073396422', '800 - 1000 um': '0.0026336392347371816', '1000 - 1200 um': '0.0014081978324670859', '1200 - 1400 um': '0.0010441405128870037', '1400 - 1600 um': '0.0005237986560278491', '1600 - 1800 um': '0.0', '1800 - 2000 um': '0.0', '2000+ um': '0.0016140603698740512', 'mean_hole_size': '257.1708747', 'median_hole_size': '160.5', 'number_holes': '2218', 'steatosis_score': '2.0', 'holes_fraction': '0.0518890882285021', 'number_holes_per_100_um2': '0.1345654621450653', 'pc1': '-2.806395883598344', 'pc2': '-0.07373874587597255', 'UMAP_0': '13.724199', 'UMAP_1': '5.6926265', 'slide_id': 'Sl190'}
{'0 - 200 um': '0.036913806246242666', '200 - 400 um': '0.04311127280863303', '400 - 600 um': '0.037240669191249895', '600 - 800 um': '0.03132296035769033', '800 - 1000 um': '0.025560378120731864', '1000 - 1200 um': '0.017292277131994844', '1200 - 1400 um': '0.012786947181776398', '1400 - 1600 um': '0.010205854328129815', '1600 - 1800 um': '0.008076771221898454', '1800 - 2000 um': '0.00734091551043067', '2000+ um': '0.02619093777122764', 'mean_hole_size': '494.6449976', 'median_hole_size': '270.0', 'number_holes': '14383', 'steatosis_score': '3.0', 'holes_fraction': '0.2560427896139628', 'number_holes_per_100_um2': '0.2731689133068687', 'pc1': '5.06608195708823', 'pc2': '-0.31977903561772814', 'UMAP_0': '8.014845', 'UMAP_1': '7.9455', 'slide_id': 'Sl213'}
{'0 - 200 um': '0.013503373315043086', '200 - 400 um': '0.00940923651245845', '400 - 600 um': '0.006570883142686544', '600 - 800 um': '0.004376938239043979', '800 - 1000 um': '0.003479341062683848', '1000 - 1200 um': '0.0026872008548425364', '1200 - 1400 um': '0.0017791371404377284', '1400 - 1600 um': '0.0010783624175180562', '1600 - 1800 um': '0.0006104559378598734', '1800 - 2000 um': '0.0006060395424074378', '2000+ um': '0.0019564049689093583', 'mean_hole_size': '318.2386986', 'median_hole_size': '166.5', 'number_holes': '5840', 'steatosis_score': '1.0', 'holes_fraction': '0.0460573731338909', 'number_holes_per_100_um2': '0.0835871968229675', 'pc1': '-2.5857560066156413', 'pc2': '0.3608295041430393', 'UMAP_0': '14.052585', 'UMAP_1': '5.4743333', 'slide_id': 'Sl227'}
{'0 - 200 um': '0.009730469448760019', '200 - 400 um': '0.009938313845785085', '400 - 600 um': '0.007515137044895183', '600 - 800 um': '0.005719909324122155', '800 - 1000 um': '0.00535949334960108', '1000 - 1200 um': '0.002996614286134241', '1200 - 1400 um': '0.0020077924475752616', '1400 - 1600 um': '0.0014241531272471855', '1600 - 1800 um': '0.0003183902817187644', '1800 - 2000 um': '0.0015152087622341162', '2000+ um': '0.0026016337012413062', 'mean_hole_size': '385.930622', 'median_hole_size': '216.0', 'number_holes': '836', 'steatosis_score': '1.0', 'holes_fraction': '0.0491271156193144', 'number_holes_per_100_um2': '0.0731660725840811', 'pc1': '-2.2876473233735357', 'pc2': '1.0712512947293222', 'UMAP_0': '13.609368', 'UMAP_1': '4.9430027', 'slide_id': 'Sl019'}
{'0 - 200 um': '0.015262190951277921', '200 - 400 um': '0.009806317881491205', '400 - 600 um': '0.004363987894139222', '600 - 800 um': '0.002408627373571847', '800 - 1000 um': '0.001242771680626621', '1000 - 1200 um': '0.0009685098529430443', '1200 - 1400 um': '0.0009214128526967883', '1400 - 1600 um': '0.0005183098981884001', '1600 - 1800 um': '0.0005319136746825893', '1800 - 2000 um': '0.00036678572798607686', '2000+ um': '0.003356427912613686', 'mean_hole_size': '290.3449782', 'median_hole_size': '169.0', 'number_holes': '4809', 'steatosis_score': '', 'holes_fraction': '0.0397472557002174', 'number_holes_per_100_um2': '0.0947707694187121', 'pc1': '-2.93597240188234', 'pc2': '0.28081102428911614', 'UMAP_0': '14.276324', 'UMAP_1': '5.5146413', 'slide_id': 'Sl244'}
{'0 - 200 um': '0.014702342131660757', '200 - 400 um': '0.0035825190629651684', '400 - 600 um': '0.0012239069169717714', '600 - 800 um': '0.0005193670818247533', '800 - 1000 um': '0.00023299025390149998', '1000 - 1200 um': '0.00020260021699757265', '1200 - 1400 um': '0.0002393755175037406', '1400 - 1600 um': '0.00018718916037561439', '1600 - 1800 um': '0.00010360457370261454', '1800 - 2000 um': '0.0', '2000+ um': '0.0007775623259215671', 'mean_hole_size': '180.4971341', 'median_hole_size': '128.0', 'number_holes': '2617', 'steatosis_score': '0.0', 'holes_fraction': '0.0217714572200536', 'number_holes_per_100_um2': '0.2716755508574439', 'pc1': '-3.674748126337014', 'pc2': '-0.03089222414670609', 'UMAP_0': '15.03601', 'UMAP_1': '4.7900143', 'slide_id': 'Sl212'}
{'0 - 200 um': '0.03497805771022209', '200 - 400 um': '0.04915544600642449', '400 - 600 um': '0.0510471344885075', '600 - 800 um': '0.039173232430978755', '800 - 1000 um': '0.028980948370380594', '1000 - 1200 um': '0.02246981645689638', '1200 - 1400 um': '0.018415771866415166', '1400 - 1600 um': '0.014417933147829227', '1600 - 1800 um': '0.010700861908909058', '1800 - 2000 um': '0.010047904509801192', '2000+ um': '0.05043633182314453', 'mean_hole_size': '837.5952668', 'median_hole_size': '335.0', 'number_holes': '6634', 'steatosis_score': '3.0', 'holes_fraction': '0.3298234390493324', 'number_holes_per_100_um2': '0.3085930834537539', 'pc1': '7.873227127579039', 'pc2': '1.4792200737024157', 'UMAP_0': '7.0404716', 'UMAP_1': '7.565488', 'slide_id': 'Sl111'}
{'0 - 200 um': '0.02364748440833404', '200 - 400 um': '0.02057316811865129', '400 - 600 um': '0.011606571466456132', '600 - 800 um': '0.006436282382703747', '800 - 1000 um': '0.002986157893108425', '1000 - 1200 um': '0.0013092363330328683', '1200 - 1400 um': '0.0007984430339333772', '1400 - 1600 um': '0.0', '1600 - 1800 um': '0.0005494970288422033', '1800 - 2000 um': '0.0005975182419622541', '2000+ um': '0.0', 'mean_hole_size': '263.5431985', 'median_hole_size': '172.0', 'number_holes': '1088', 'steatosis_score': '2.0', 'holes_fraction': '0.0685043589755287', 'number_holes_per_100_um2': '0.1495830176825971', 'pc1': '-2.3905661567624117', 'pc2': '-0.3823053018704351', 'UMAP_0': '13.390961', 'UMAP_1': '6.2998595', 'slide_id': 'Sl054'}
{'0 - 200 um': '0.013058929623347421', '200 - 400 um': '0.011241614749173803', '400 - 600 um': '0.006452368954753951', '600 - 800 um': '0.004423544700574343', '800 - 1000 um': '0.0037527783478689646', '1000 - 1200 um': '0.0026472825440604407', '1200 - 1400 um': '0.0016136777707488198', '1400 - 1600 um': '0.001595916436204375', '1600 - 1800 um': '0.0009796051263107322', '1800 - 2000 um': '0.000483654445344056', '2000+ um': '0.003635150293345171', 'mean_hole_size': '354.4481112', 'median_hole_size': '181.0', 'number_holes': '2303', 'steatosis_score': '1.0', 'holes_fraction': '0.0498845230416166', 'number_holes_per_100_um2': '0.4038096408573578', 'pc1': '-2.3786862284346513', 'pc2': '0.257435363446472', 'UMAP_0': '12.304274', 'UMAP_1': '4.545228', 'slide_id': 'Sl228'}
